time,sse.601318,sse.600896,sse.600004
2019/8/1 15:00,87.51,4.12,17.79
2019/8/2 15:00,86.03,4.09,17.51
2019/8/5 15:00,84.61,4.05,17.1
2019/8/6 15:00,84.51,3.9,16.93
2019/8/7 15:00,83.47,3.97,17.14
2019/8/8 15:00,84.51,3.92,17.55
2019/8/9 15:00,84.35,3.88,17.24
2019/8/12 15:00,86.5,3.96,18.29
2019/8/13 15:00,85.01,3.98,19.11
2019/8/14 15:00,85.04,3.98,18.06
2019/8/15 15:00,86.31,4.02,18.08
2019/8/16 15:00,87.46,4.03,18.18
2019/8/19 15:00,88.45,4.12,18.44
2019/8/20 15:00,87.94,4.18,18.32
2019/8/21 15:00,87.73,4.14,18.12
2019/8/22 15:00,87.98,4.1,18.4
2019/8/23 15:00,89.89,4.12,18.61
2019/8/26 15:00,87.5,4.09,18.81
2019/8/27 15:00,87.68,4.16,18.89
2019/8/28 15:00,86.9,4.14,18.95
2019/8/29 15:00,86.7,4.08,19.03
2019/8/30 15:00,87.32,4.02,18.7
2019/9/2 15:00,88.5,4.09,19.11
2019/9/3 15:00,88.25,4.08,19.5
2019/9/4 15:00,88.3,4.22,20.06
2019/9/5 15:00,89.23,4.2,20.31
2019/9/6 15:00,90.7,4.18,20.64
2019/9/9 15:00,90.4,4.23,20.65
2019/9/10 15:00,89.44,4.25,20.19
2019/9/11 15:00,89.56,4.2,19.85
2019/9/12 15:00,92.34,4.23,20.09
2019/9/16 15:00,91.35,4.27,20.07
2019/9/17 15:00,89.52,4.7,19.7
2019/9/18 15:00,90,5.17,20.94
2019/9/19 15:00,89.6,5.67,20.98
2019/9/20 15:00,89.85,5.14,21.26
2019/9/23 15:00,88.91,4.87,21.22
2019/9/24 15:00,88.95,4.82,22.65
2019/9/25 15:00,88.78,4.69,22.34
2019/9/26 15:00,88.35,4.44,22.3
2019/9/27 15:00,88.3,4.44,22.4
2019/9/30 15:00,87.04,4.47,22.45
